id,name,kind,latitude,longitude,belong_to
4785,armacao dos buzios,city,-22.747,-41.882,169
4786,mutum,city,-19.8,-41.438,168
4787,abadia dos dourados,city,-18.486,-47.403,168
4788,inconfidentes,city,-22.317,-46.328,168
4789,corumbatai,city,-22.22,-47.626,170
4790,lutecia,city,-22.34,-50.392,170
4791,guapimirim,city,-22.537,-42.982,169
4792,presidente epitacio,city,-21.763,-52.116,170
4793,chapada dos guimaraes,city,-15.461,-55.75,165
4794,douradoquara,city,-18.431,-47.609,168
4795,tres arroios,city,-27.499,-52.147,172
4796,pirangi,city,-21.091,-48.658,170
4797,jesuania,city,-21.998,-45.291,168
4798,oliveira,city,-20.696,-44.827,168
4799,colombia,city,-20.176,-48.689,170
4800,rosario do catete,city,-10.696,-37.031,161
4801,cordisburgo,city,-19.125,-44.321,168
4802,astorga,city,-23.233,-51.666,171
4803,jelgava,city,56.65,23.71278,44
4804,santa albertina,city,-20.032,-50.728,170
4805,aiuruoca,city,-21.976,-44.603,168
4806,liege,city,50.63373,5.56749,32
4807,helmstedt,city,52.2279,11.00985,38
4808,mexicali,city,32.62781,-115.45446,114
4809,tashkent,city,41.26465,69.21627,57
4810,delmenhorst,city,53.0511,8.63091,38
4811,la calera,city,-31.34377,-64.33529,140
4812,nimes,city,43.83333,4.35,40
4813,huaraz,city,-9.52779,-77.52778,136
4814,reboucas,city,-25.621,-50.693,171
4815,bilbao,city,43.26271,-2.92528,41
4816,kalmar,city,56.66157,16.36163,35
4817,rionegro,city,6.15515,-75.37371,138
4818,chongqing,city,29.56278,106.55278,49
4819,gliwice,city,50.29761,18.67658,31
4820,kuopio,city,62.89238,27.67703,22
4821,gijon,city,43.53573,-5.66152,41
4822,assuncao,city,-7.074,-36.731,158
4823,victoria,city,-38.23291,-72.33292,133
4824,barnaul,city,53.36056,83.76361,69
4825,rafaela,city,-31.25033,-61.4867,140
4826,sidney,city,40.28422,-84.1555,113
4827,woking,city,51.31903,-0.55893,9
4828,ensenada,city,31.86613,-116.59972,114
4829,alcala de henares,city,40.48205,-3.35996,41
4830,gibraltar,city,36.14474,-5.35257,47
4831,utrecht,city,52.09083,5.12222,29
4832,quelimane,city,-17.87861,36.88833,96
4833,inglewood,city,33.96168,-118.35313,113
4834,milha,city,-5.675,-39.194,156
4835,venray,city,51.525,5.975,29
4836,corvallis,city,44.56457,-123.26204,113
4837,irkutsk,city,52.29778,104.29639,69
4838,sao jose da bela vista,city,-20.593,-47.64,170
4839,valladolid,city,41.65518,-4.72372,41
4840,bremen,city,53.07516,8.80777,38
4841,liverpool,city,53.41058,-2.97794,9
4842,parma,city,44.79935,10.32618,15
4843,altair,city,-20.524,-49.059,170
4844,sonsonate,city,13.71889,-89.72417,126
4845,pasco,city,46.23958,-119.10057,113
