Ranking;Nome da Universidade;sigla;UF;Pública/Privada;Ensino;Pesquisa;Mercado;Inovação;Internacionalização;Nota
82;Universidade Federal do Estado do Rio de Janeiro;UNIRIO;RJ;Pública;70;70;150;-;73;49
83;Universidade de Mogi Das Cruzes;UMC;SP;Privada;105;96;71;67;76;48.66
84;Universidade Feevale;FEEVALE;RS;Privada;53;95;123;95;115;48.32
85;Universidade de Taubaté;UNITAU;SP;Pública;86;101;71;-;130;47.02
86;Universidade do Estado da Bahia;UNEB;BA;Pública;89;111;52;83;137;46.88
87;Universidade de Santa Cruz do Sul;UNISC;RS;Privada;62;128;71;74;102;46.61
88;Universidade Estadual de Feira de Santana;UEFS;BA;Pública;151;50;96;83;54;46.38
89;Universidade Estadual do Sudoeste da Bahia;UESB;BA;Pública;139;51;123;83;52;45.99
90;Universidade Guarulhos;UNG;SP;Privada;123;91;96;95;31;45.26
91;Universidade do Grande Rio Professor José de Souza Herdy;UNIGRANRIO;RJ;Privada;90;116;71;-;46;44.89
92;Universidade Estadual do Centro Oeste;UNICENTRO;PR;Pública;83;103;123;40;155;44.82
93;Fundação Universidade Federal do Tocantins;UFT;TO;Pública;132;85;71;95;94;43.44
94;Pontifícia Universidade Católica de Goiás;PUC GOIAS;GO;Privada;122;131;11;-;126;43.39
95;Universidade Estadual de Montes Claros;UNIMONTES;MG;Pública;87;99;123;67;138;43.3
96;Universidade São Judas Tadeu;USJT;SP;Privada;102;138;32;-;107;42.53
97;Universidade Regional Integrada do Alto Uruguai e Das Missões;URI;RS;Privada;168;72;52;83;124;42.4
98;Universidade Metodista de Piracicaba;UNIMEP;SP;Privada;108;114;71;-;131;42.3
99;Universidade do Sul de Santa Catarina;UNISUL;SC;Privada;117;121;52;95;169;42.05
100;Universidade Regional do Cariri;URCA;CE;Pública;80;93;150;-;152;41.92
101;Universidade do Vale do Paraíba;UNIVAP;SP;Privada;160;52;123;-;14;41.87
102;Universidade Católica de Santos;UNISANTOS;SP;Privada;60;147;71;-;154;41.79
103;Universidade Católica de Pernambuco;UNICAP;PE;Privada;113;146;22;-;134;41.58
104;Universidade Salvador;UNIFACS;BA;Privada;109;154;22;-;66;41.25
105;Universidade do Extremo Sul Catarinense;UNESC;SC;Privada;162;57;123;65;76;41.13
106;Universidade Anhembi Morumbi;UAM;SP;Privada;55;178;32;83;181;40.78
107;Universidade Fumec;FUMEC;MG;Privada;111;152;32;-;89;40.72
108;Universidade Regional do Noroeste do Estado do Rio Grande do Sul;UNIJUI;RS;Privada;59;160;52;-;180;40.71
109;Universidade Estadual da Paraíba;UEPB;PB;Pública;136;82;96;74;160;40.59
110;Universidade de Marília;UNIMAR;SP;Privada;88;127;96;64;151;40.4
111;Universidade Cidade de São Paulo;UNICID;SP;Privada;112;109;123;-;31;40.05
112;Universidade de Passo Fundo;UPF;RS;Privada;155;79;96;67;71;39.8
113;Universidade Estadual de Goiás;UEG;GO;Pública;110;123;71;-;172;39.75
114;Universidade José do Rosário Vellano;UNIFENAS;MG;Privada;107;119;96;95;159;39.68
115;Fundação Universidade Federal da Grande Dourados;UFGD;MS;Pública;135;67;150;67;117;39.66
116;Universidade Federal do Acre;UFAC;AC;Pública;141;77;123;83;86;38.77
117;Universidade Católica de Pelotas;UCPEL;RS;Privada;148;59;150;-;51;38.6
118;Universidade Estadual do Rio Grande do Sul;UERGS;RS;Pública;127;97;123;95;14;38.51
119;Universidade do Sagrado Coração;USC;SP;Privada;153;86;96;-;8;38.43
