sigla;people;DD;avgDD;D;avgD;avgDDbyP;Ano;CodIES;NomeIES;siglai;CategAdmin;OrgAcademica;UF;nAvTri;nCPC;alfa;graduacao;beta;mestrado;doutorado;igcc;igcf;Obs;rufpos;NomeUni;siglar;UFr;PubPri;ensino;pesquisa;mercado;inovacao;interna;rufnota
ufpb;1920;8912259.817290988;4641.801988172389;8158;4;1129.079704456495;2013;579;UNIVERSIDADE FEDERAL DA PARAÍBA;UFPB;Pública;Universidade;PB;55;55;0.7430;3.1186;0.6086;3.9552;2.5178;3.4371;4;;25;Universidade Federal da Paraíba;UFPB;PB;Pública;26;26;43;29;62;79.03
ufpa;1510;8158670.728615452;5403.093197758577;6498;4;1315.290053425694;2013;569;UNIVERSIDADE FEDERAL DO PARÁ;UFPA;Pública;Universidade;PA;75;72;0.7288;2.5095;0.6418;3.9480;2.4448;3.0107;4;;29;Universidade Federal do Pará;UFPA;PA;Pública;44;32;43;20;34;75.89
ufjf;1065;2751958.8666903777;2583.9989358595094;4624;4;612.0907091240128;2013;576;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;Pública;Universidade;MG;32;29;0.6965;3.3849;0.6895;3.7123;2.3279;3.6564;4;;28;Universidade Federal de Juiz de Fora;UFJF;MG;Pública;25;28;71;21;44;76.32
ufla;765;2185149.6217935532;2856.404734370658;3249;4;699.3464873119939;2013;592;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;Pública;Universidade;MG;13;13;0.4529;3.7830;0.4938;4.4218;2.9847;4.1847;5;;27;Universidade Federal de Lavras;UFLA;MG;Pública;12;25;96;16;72;77.87
ufu;1587;4334362.42430288;2731.167249088141;6808;4;666.9707287063579;2013;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Pública;Universidade;MG;54;52;0.6871;3.1808;0.5770;4.2261;3.0827;3.5956;4;;26;Universidade Federal de Uberlândia;UFU;MG;Pública;29;27;43;17;60;78.79
ufsm;1584;6195592.5054404205;3911.3589049497605;6870;4;944.0387213270828;2013;582;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;Pública;Universidade;RS;51;49;0.5927;3.1980;0.6220;4.1326;2.9206;3.7154;4;;15;Universidade Federal de Santa Maria;UFSM;RS;Pública;15;14;32;23;41;86.44
puc-rio;970;5733040.928870452;5910.351473062321;3767;3;1628.422689097204;2013;528;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;Privada;Universidade;RJ;32;32;0.5965;3.0735;0.5356;4.6826;3.4241;3.7180;4;;20;Pontifícia Universidade Católica do Rio de Janeiro;PUC-RIO;RJ;Privada;22;21;22;27;6;83.91
ufpel;1152;4321753.986484776;3751.5225577124793;5127;4;885.7236825635092;2013;634;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;Pública;Universidade;RS;36;34;0.6893;3.0886;0.5553;3.9432;3.0318;3.5007;4;;30;Universidade Federal de Pelotas;UFPEL;RS;Pública;33;18;123;34;29;72.34
ufes;1335;4753262.561575412;3560.496300805552;5614;4;872.6604572185338;2013;573;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;Pública;Universidade;ES;58;56;0.7589;2.7621;0.7508;3.7495;2.2099;3.1326;4;;31;Universidade Federal do Espírito Santo;UFES;ES;Pública;66;35;22;48;35;71.95
pucpr;476;2037317.3058566158;4280.078373648353;2085;4;1028.8608175283082;2013;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada;Universidade;PR;67;65;0.8767;2.6511;0.6192;4.4523;2.6116;2.8824;3;;32;Pontifícia Universidade Católica do Paraná;PUCPR;PR;Privada;50;53;16;35;45;71.78
ufs;1009;4340443.545202993;4301.72799326362;4355;4;1015.7308136093445;2013;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública;Universidade;SE;68;60;0.8611;2.8581;0.7559;3.5996;2.3204;3.0517;4;;33;Universidade Federal de Sergipe;UFS;SE;Pública;65;37;32;26;53;70.97
ufop;641;2050162.3637155253;3198.381222645125;2671;4;813.4239551530806;2013;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Pública;Universidade;MG;29;29;0.7815;3.2441;0.7168;3.8757;2.7478;3.4933;4;;34;Universidade Federal de Ouro Preto;UFOP;MG;Pública;37;36;96;18;40;70.61
ufmt;1145;4384968.574230277;3829.6668770570104;4901;4;907.3505423481467;2013;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública;Universidade;MT;63;60;0.8285;2.7919;0.7661;3.5667;2.2397;3.0395;4;;36;Universidade Federal de Mato Grosso;UFMT;MT;Pública;45;41;52;95;83;68.82
ufms;869;2776432.307354303;3194.973886483663;3688;4;763.8572469336095;2013;694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;Pública;Universidade;MS;73;70;0.8315;2.7831;0.7365;3.5648;2.1262;3.0251;4;;37;Universidade Federal de Mato Grosso do Sul;UFMS;MS;Pública;41;55;52;44;99;68.74
ufal;898;4349515.771425723;4843.558765507487;3810;4;1172.066119448914;2013;577;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;Pública;Universidade;AL;54;51;0.8967;2.7303;0.7464;3.5609;2.1329;2.8841;3;;38;Universidade Federal de Alagoas;UFAL;AL;Pública;69;43;43;42;33;68.03
