Ano;Cód.IES;Nome da IES;Sigla da IES;Categ. Administrativa;Org. Acadêmica;UF da IES;Nr. de Cursos Avaliados no Triênio;Nr. de Cursos com CPC no Triênio;alfa(Proporção de Graduandos);Conceito médio da Graduação;beta(Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;Conceito Médio do doutorado;IGC (Contínuo);IGC (faixa);Obs:
2013;5036;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA CATARINENSE;IF Catarinense;Pública;Instituto Federal de Educação. Ciência e Tecnologia;SC;4;0;;;0.0000;0.0000;0.0000;;SC;
2013;5077;UNIVERSIDADE ESTADUAL DE RORAIMA;UERR;Pública;Universidade;RR;16;14;0.9897;1.9842;1.0000;3.0000;0.0000;2.0049;3;
2013;5242;UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL;UNEAL;Pública;Universidade;AL;1;0;;;0.0000;0.0000;0.0000;;SC;
2013;5322;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA;UNIPAMPA;Pública;Universidade;RS;29;29;0.9496;3.1784;1.0000;3.1416;0.0000;3.2234;4;
2013;5701;UNIVERSIDADE DO ESTADO DO AMAPÁ;UEAP;Pública;Universidade;AP;6;6;1.0000;2.3685;0.0000;0.0000;0.0000;2.3685;3;
2013;14509;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO;Pública;Instituto Federal de Educação. Ciência e Tecnologia;BA;2;0;;;0.0000;0.0000;0.0000;;SC;
2013;14724;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DO PARANÁ;IFPR;Pública;Instituto Federal de Educação. Ciência e Tecnologia;PR;9;8;1.0000;2.3624;0.0000;0.0000;0.0000;2.3624;3;
2013;15015;Universidade Estadual do Norte do Paraná;UENP;Pública;Universidade;PR;18;18;0.9733;2.7345;1.0000;3.7024;0.0000;2.7776;3;
2013;15032;UNIVERSIDADE ALTO VALE DO RIO DO PEIXE;UNIARP;Privada;Universidade;SC;18;18;1.0000;2.2740;0.0000;0.0000;0.0000;2.2740;3;
2013;15059;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;UFOPA;Pública;Universidade;PA;1;1;0.8151;1.4611;1.0000;3.0000;0.0000;1.9306;2;
2013;15121;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS;Pública;Universidade;SC;7;0;;;1.0000;3.0000;0.0000;;SC;
2013;15497;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;UNILAB;Pública;Universidade;CE;2;0;;;0.0000;0.0000;0.0000;;SC;
2013;15507;Instituto Federal de Educação. Ciência e Tecnologia do Acre;IFAC;Pública;Instituto Federal de Educação. Ciência e Tecnologia;AC;1;1;1.0000;1.6770;0.0000;0.0000;0.0000;1.6770;2;
2013;15520;INSTITUTO FEDERAL DE EDUCAÇÃO. CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL;IFMS;Pública;Instituto Federal de Educação. Ciência e Tecnologia;MS;1;0;;;0.0000;0.0000;0.0000;;SC;
2013;18440;UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ;UNIFESSPA;Pública;Universidade;PA;1;0;;;0.0000;0.0000;0.0000;;SC;
2013;18759;UNIVERSIDADE FEDERAL DO CARIRI;UFCA;Pública;Universidade;CE;2;2;1.0000;2.5677;0.0000;0.0000;0.0000;2.5677;3;
